zone_id,zone_name,category,outage_hours_baseline,outage_hours_optimized
Z001,Hospital_1,hospital,0,0
Z002,Hospital_2,hospital,12,0
Z003,ColdStorage_WaterPump_1,cold_storage_water,48,0
Z004,ColdStorage_WaterPump_2,cold_storage_water,48,0
Z005,School_Institution_1,school_institutional,0,0
Z006,School_Institution_2,school_institutional,48,2
Z007,School_Institution_3,school_institutional,48,2
Z008,School_Institution_4,school_institutional,13,11
Z009,Commercial_1,commercial,12,35
Z010,Commercial_2,commercial,48,37
Z011,Commercial_3,commercial,48,30
Z012,Commercial_4,commercial,48,25
Z013,Commercial_5,commercial,7,32
Z014,Commercial_6,commercial,48,27
Z015,Residential_1,residential_idle,48,48
Z016,Residential_2,residential_idle,48,48
Z017,Residential_3,residential_idle,48,48
Z018,Residential_4,residential_idle,48,48
Z019,Residential_5,residential_idle,48,48
Z020,Residential_6,residential_idle,48,48
