zone_id,zone_name,category,criticality_score,hour,demand_kwh,backup_capacity_kwh,cumulative_outage_hours
Z001,Hospital_1,hospital,10,0,60.84,67.55,4
Z001,Hospital_1,hospital,10,1,57.16,67.55,
Z001,Hospital_1,hospital,10,2,62.48,67.55,
Z001,Hospital_1,hospital,10,3,55.85,67.55,
Z001,Hospital_1,hospital,10,4,55.78,67.55,
Z001,Hospital_1,hospital,10,5,55.13,67.55,
Z001,Hospital_1,hospital,10,6,50.13,67.55,
Z001,Hospital_1,hospital,10,7,51.52,67.55,
Z001,Hospital_1,hospital,10,8,55.82,67.55,
Z001,Hospital_1,hospital,10,9,50.51,67.55,
Z001,Hospital_1,hospital,10,10,52.62,67.55,
Z001,Hospital_1,hospital,10,11,52.42,67.55,
Z001,Hospital_1,hospital,10,12,55.02,67.55,
Z001,Hospital_1,hospital,10,13,52.6,67.55,
Z001,Hospital_1,hospital,10,14,54.03,67.55,
Z001,Hospital_1,hospital,10,15,56.08,67.55,
Z001,Hospital_1,hospital,10,16,56.32,67.55,
Z001,Hospital_1,hospital,10,17,53.63,67.55,
Z001,Hospital_1,hospital,10,18,60.09,67.55,
Z001,Hospital_1,hospital,10,19,52.85,67.55,
Z001,Hospital_1,hospital,10,20,53.28,67.55,
Z001,Hospital_1,hospital,10,21,52.91,67.55,
Z001,Hospital_1,hospital,10,22,60.34,67.55,
Z001,Hospital_1,hospital,10,23,55.34,67.55,
Z001,Hospital_1,hospital,10,24,52.71,67.55,
Z001,Hospital_1,hospital,10,25,51.51,67.55,
Z001,Hospital_1,hospital,10,26,55.91,67.55,
Z001,Hospital_1,hospital,10,27,50.38,67.55,
Z001,Hospital_1,hospital,10,28,49.03,67.55,
Z001,Hospital_1,hospital,10,29,54.42,67.55,
Z001,Hospital_1,hospital,10,30,48.29,67.55,
Z001,Hospital_1,hospital,10,31,50.74,67.55,
Z001,Hospital_1,hospital,10,32,51.62,67.55,
Z001,Hospital_1,hospital,10,33,50.36,67.55,
Z001,Hospital_1,hospital,10,34,51.86,67.55,
Z001,Hospital_1,hospital,10,35,56.7,67.55,
Z001,Hospital_1,hospital,10,36,51.44,67.55,
Z001,Hospital_1,hospital,10,37,49.72,67.55,
Z001,Hospital_1,hospital,10,38,48.52,67.55,
Z001,Hospital_1,hospital,10,39,54.6,67.55,
Z001,Hospital_1,hospital,10,40,54.79,67.55,
Z001,Hospital_1,hospital,10,41,57.47,67.55,
Z001,Hospital_1,hospital,10,42,55.44,67.55,
Z001,Hospital_1,hospital,10,43,55.67,67.55,
Z001,Hospital_1,hospital,10,44,54.93,67.55,
Z001,Hospital_1,hospital,10,45,55.53,67.55,
Z001,Hospital_1,hospital,10,46,57.58,67.55,
Z001,Hospital_1,hospital,10,47,55.28,67.55,
Z002,Hospital_2,hospital,10,0,36.53,17.2,2
Z002,Hospital_2,hospital,10,1,39.95,17.2,
Z002,Hospital_2,hospital,10,2,36.39,17.2,
Z002,Hospital_2,hospital,10,3,31.59,17.2,
Z002,Hospital_2,hospital,10,4,38.02,17.2,
Z002,Hospital_2,hospital,10,5,34.76,17.2,
Z002,Hospital_2,hospital,10,6,31.85,17.2,
Z002,Hospital_2,hospital,10,7,35.39,17.2,
Z002,Hospital_2,hospital,10,8,33.54,17.2,
Z002,Hospital_2,hospital,10,9,32.33,17.2,
Z002,Hospital_2,hospital,10,10,32.47,17.2,
Z002,Hospital_2,hospital,10,11,32.02,17.2,
Z002,Hospital_2,hospital,10,12,34.54,17.2,
Z002,Hospital_2,hospital,10,13,37.13,17.2,
Z002,Hospital_2,hospital,10,14,34.69,17.2,
