zone_id,hour,demand_kwh,effective_need,served_fraction,allocated_kwh,zone_name,category,criticality_score
Z001,0,60.84,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,1,57.16,0.0,0.17703814,10.1195000824,Hospital_1,hospital,10
Z001,2,62.48,0.0,0.073778747,4.60969611256,Hospital_1,hospital,10
Z001,3,55.85,0.0,0.28976899,16.183598091500002,Hospital_1,hospital,10
Z001,4,55.78,0.0,0.35941413,20.0481201714,Hospital_1,hospital,10
Z001,5,55.13,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,6,50.13,0.0,0.01893078,0.9490000014000001,Hospital_1,hospital,10
Z001,7,51.52,0.0,0.023396622,1.20539396544,Hospital_1,hospital,10
Z001,8,55.82,0.0,0.098258473,5.48478796286,Hospital_1,hospital,10
Z001,9,50.51,0.0,0.35941413,18.1540077063,Hospital_1,hospital,10
Z001,10,52.62,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,11,52.42,0.0,0.01893078,0.9923514876000001,Hospital_1,hospital,10
Z001,12,55.02,0.0,0.023396622,1.28728214244,Hospital_1,hospital,10
Z001,13,52.6,0.0,0.098258473,5.1683956798,Hospital_1,hospital,10
Z001,14,54.03,0.0,0.35941413,19.4191454439,Hospital_1,hospital,10
Z001,15,56.08,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,16,56.32,0.0,0.01893078,1.0661815296000001,Hospital_1,hospital,10
Z001,17,53.63,0.0,0.023396622,1.25476083786,Hospital_1,hospital,10
Z001,18,60.09,0.0,0.098258473,5.90435164257,Hospital_1,hospital,10
Z001,19,52.85,0.0,0.35941413,18.9950367705,Hospital_1,hospital,10
Z001,20,53.28,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,21,52.91,0.0,0.042327402,2.23954283982,Hospital_1,hospital,10
Z001,22,60.34,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,23,55.34,0.0,0.34432598,19.0549997332,Hospital_1,hospital,10
Z001,24,52.71,0.0,0.11334661,5.9744998131000004,Hospital_1,hospital,10
Z001,25,51.51,0.0,0.042327402,2.18028447702,Hospital_1,hospital,10
Z001,26,55.91,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,27,50.38,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,28,49.03,0.0,0.34432598,16.882302799399998,Hospital_1,hospital,10
Z001,29,54.42,0.0,0.11334661,6.1683225162,Hospital_1,hospital,10
Z001,30,48.29,0.0,0.042327402,2.04399024258,Hospital_1,hospital,10
Z001,31,50.74,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,32,51.62,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,33,50.36,0.0,0.5,25.18,Hospital_1,hospital,10
Z001,34,51.86,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,35,56.7,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,36,51.44,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,37,49.72,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,38,48.52,0.0,0.5,24.26,Hospital_1,hospital,10
Z001,39,54.6,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,40,54.79,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,41,57.47,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,42,55.44,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,43,55.67,0.0,0.5,27.835,Hospital_1,hospital,10
Z001,44,54.93,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,45,55.53,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,46,57.58,0.0,0.0,0.0,Hospital_1,hospital,10
Z001,47,55.28,0.0,0.0,0.0,Hospital_1,hospital,10
Z002,0,36.53,193.3,1.0,36.53,Hospital_2,hospital,10
Z002,1,39.95,227.50000000000003,1.0,39.95,Hospital_2,hospital,10
Z002,2,36.39,191.9,1.0,36.39,Hospital_2,hospital,10
Z002,3,31.59,143.9,1.0,31.59,Hospital_2,hospital,10
Z002,4,38.02,208.20000000000005,1.0,38.02,Hospital_2,hospital,10
Z002,5,34.76,175.6,1.0,34.76,Hospital_2,hospital,10
Z002,6,31.85,146.50000000000003,1.0,31.85,Hospital_2,hospital,10
Z002,7,35.39,181.9,1.0,35.39,Hospital_2,hospital,10
Z002,8,33.54,163.4,1.0,33.54,Hospital_2,hospital,10
Z002,9,32.33,151.29999999999998,1.0,32.33,Hospital_2,hospital,10
Z002,10,32.47,152.7,1.0,32.47,Hospital_2,hospital,10
Z002,11,32.02,148.20000000000005,1.0,32.02,Hospital_2,hospital,10
Z002,12,34.54,173.4,1.0,34.54,Hospital_2,hospital,10
Z002,13,37.13,199.30000000000004,1.0,37.13,Hospital_2,hospital,10
Z002,14,34.69,174.89999999999998,1.0,34.69,Hospital_2,hospital,10
Z002,15,36.77,195.70000000000005,1.0,36.77,Hospital_2,hospital,10
Z002,16,40.4,232.0,1.0,40.4,Hospital_2,hospital,10
Z002,17,34.03,168.3,1.0,34.03,Hospital_2,hospital,10
Z002,18,37.57,203.70000000000002,1.0,37.57,Hospital_2,hospital,10
Z002,19,36.5,193.0,1.0,36.5,Hospital_2,hospital,10
Z002,20,34.88,176.80000000000004,1.0,34.88,Hospital_2,hospital,10
Z002,21,34.9,177.0,1.0,34.9,Hospital_2,hospital,10
Z002,22,36.96,197.60000000000002,1.0,36.96,Hospital_2,hospital,10
Z002,23,37.65,204.5,1.0,37.65,Hospital_2,hospital,10
Z002,24,35.15,179.5,1.0,35.15,Hospital_2,hospital,10
Z002,25,35.98,187.79999999999998,1.0,35.98,Hospital_2,hospital,10
Z002,26,36.91,197.09999999999997,1.0,36.91,Hospital_2,hospital,10
Z002,27,35.51,183.1,1.0,35.51,Hospital_2,hospital,10
Z002,28,36.23,190.29999999999998,1.0,36.23,Hospital_2,hospital,10
Z002,29,34.99,177.90000000000003,1.0,34.99,Hospital_2,hospital,10
Z002,30,34.74,175.40000000000003,1.0,34.74,Hospital_2,hospital,10
